Date,Close,High,Low,Open,Volume,AG,XL,XC,YP,NI,CC,IF,OD,PD,DH,FS,TP,KK,PG,ZP,SQ
2026-08-24,1730.0,1735.0,1715.0,1725.0,20000,0.0,0.0076,-0.0031,0.0043,0.0,0.0099,0.0,-0.0024,-0.0079,0.0,-0.0009,-0.0009,-0.0016,-0.0044,-0.0009,0.0002
2026-08-26,1725.0,1730.0,1700.0,1720.0,16800,0.0,-0.0045,0.0,0.028,0.0,-0.0068,0.0,0.0,-0.0167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-27,1710.0,1795.0,1700.0,1725.0,482500,0.0003,-0.0002,-0.0028,0.0326,0.0,0.0016,-0.0002,0.0017,-0.0331,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,1665.0,1720.0,1650.0,1710.0,9300,-0.0002,0.0048,-0.0002,0.0062,-0.0062,0.0005,-0.0055,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
