Date,Close,High,Low,Open,Volume,CC,YP,NI,XL,KK,CP,GR,XC,OD,PD,EP,DH,LG,KI,XA,CD,MG,DR,MU,RO,YB,AZ,BQ
2026-08-24,204.0,208.0,202.0,204.0,207400,-0.0025,0.0013,-0.0001,0.0077,0.0,0.0,0.0,0.0002,-0.0029,-0.0038,0.0,0.0001,0.0001,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0004,-0.0001,0.0001,0.0001
2026-08-26,202.0,204.0,200.0,200.0,739800,0.0212,0.0216,0.0006,-0.0108,0.002,0.0,0.0,-0.0009,-0.0361,-0.0072,0.0,0.0001,0.0,0.0,0.001,-0.0003,0.001,0.0404,-0.0327,0.0,0.0,0.0,0.0
2026-08-27,202.0,204.0,200.0,202.0,150700,-0.0021,-0.0007,0.0005,0.0065,-0.0026,-0.0096,0.0,0.0042,0.0005,0.001,0.0,0.0,0.0,0.0002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,206.0,208.0,200.0,202.0,449800,-0.0051,0.0001,0.0017,0.0013,-0.0036,0.0008,0.0002,-0.0102,-0.0002,0.0055,0.0106,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
