Date,Close,High,Low,Open,Volume,AZ,AG,HP,EP,HD,ZP,SQ,GR,LS,KI,YP,AI,LG,OD,TP,CP,KK,XL,YB,XC,PD,YJ,AK,BK,NI,CC,DR,BQ,RO,AO,YU,AT,DH,IF
2026-08-24,505.0,505.0,492.0,505.0,3129800,0.0049,0.0,-0.4927,0.0001,0.0004,0.0,0.0062,0.0025,0.0,0.095,0.0206,-0.0013,0.0018,-0.0249,0.8642,0.0256,0.0,0.0871,0.0089,-0.0397,-0.0312,-0.0501,0.0012,0.0,0.0,0.0564,-0.0532,0.0,0.0002,-0.2902,-0.2465,0.0494,0.0086,-0.0034
2026-08-26,492.0,505.0,492.0,505.0,2210000,0.0049,0.0149,0.0,0.0,-0.0003,0.0021,0.0097,0.0,0.0,0.1686,0.0683,0.0012,0.0,0.1232,0.289,0.0,0.0004,-0.2494,0.0,0.0153,0.002,-0.0145,-0.011,0.0,-0.0564,0.0875,-0.01,0.0,0.0,-0.4454,-0.0002,0.0,0.0,0.0
2026-08-27,498.0,500.0,490.0,498.0,1381700,0.0097,-0.0148,0.0,-0.0005,-0.0003,0.0,0.0161,0.0,0.0,0.0042,-0.0649,-0.0012,0.0,-0.2232,0.5014,0.0,-0.0015,0.0487,0.0,-0.009,-0.0445,-0.05,-0.0071,0.0052,0.001,-0.1692,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0
2026-08-28,492.0,505.0,486.0,500.0,3933200,0.0084,0.0155,-0.4921,0.005,0.0,-0.0848,0.0194,-0.0078,0.0032,-0.4979,0.0286,0.0012,0.001,0.0255,0.9566,-0.2397,0.006,0.1017,0.0146,0.0554,-0.0155,-0.0251,-0.0059,-0.0003,0.0309,0.0882,0.0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0
