Date,Close,High,Low,Open,Volume,RO,CC,YP,LG,HD,KK,NI,CP,XC,XL,BR,SQ,KI,PD,BQ,EP,DH,YU,DR,QA,OD,AZ,TP,AT,HP
2026-08-24,208.0,210.0,206.0,206.0,1613100,0.0027,-0.0369,-0.0222,0.0,0.0,0.001,-0.1231,0.0325,0.0152,-0.0121,0.0,-0.0004,0.0,0.0256,0.0003,-0.0266,0.0,0.1248,0.0,0.0191,0.0,0.0,0.0,0.0,0.0
2026-08-26,206.0,208.0,206.0,208.0,1899100,-0.0003,-0.0369,0.0019,0.0,0.0002,0.0015,0.0079,0.0004,0.0234,-0.0076,0.0,0.0004,0.0,-0.0699,0.0,-0.0102,0.0002,0.0824,0.0,0.0,0.0023,0.0,0.0,0.0001,0.0043
2026-08-27,206.0,208.0,204.0,206.0,1090100,-0.0053,-0.0593,0.0004,0.0002,-0.0,0.0009,-0.0422,0.0008,-0.0142,0.0013,0.0,0.0003,0.0,-0.0176,0.0,-0.0042,0.0,0.0148,0.0021,0.1248,-0.0027,0.0,0.0,0.0,0.0
2026-08-28,208.0,210.0,206.0,206.0,619700,-0.0,-0.0315,0.0082,0.0001,-0.0001,0.0,-0.0125,0.0693,0.0173,-0.0025,-0.0094,0.0004,0.0,-0.0442,-0.0003,0.0001,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
