Date,Close,High,Low,Open,Volume,MG,CC,YP,HD,AT,XL,KK,LG,NI,OD,XC,SQ,AK,DH,PD,RO,TP,YU,IU,AZ,EP
2026-08-24,3630.0,3800.0,3630.0,3750.0,90100,0.0,0.0123,0.0033,0.0,0.0,0.0526,0.0041,0.0084,0.0007,0.1807,0.0143,0.0037,-0.277,0.0,0.0014,0.0,0.0,0.0034,-0.0004,0.0018,-0.0093
2026-08-26,3700.0,3710.0,3670.0,3710.0,5400,0.0,-0.0074,0.0004,0.0,0.0,0.0078,0.0011,0.0,0.0004,0.0,-0.0063,0.0018,0.0007,0.0,0.0,0.0004,0.0011,0.0,0.0,0.0,0.0
2026-08-27,3690.0,3710.0,3660.0,3700.0,2500,0.0,-0.0062,0.0018,0.0,0.0,0.0004,0.0007,0.0,-0.0004,0.0015,0.0015,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,3650.0,3690.0,3600.0,3690.0,26200,0.0004,0.0214,0.0029,0.0011,0.0004,0.0235,0.0029,-0.0533,-0.0037,0.0077,-0.0018,0.0007,-0.004,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
