Date,Close,High,Low,Open,Volume,AI,LG,HD,PD,CP,BQ,ZP,NI,SQ,EP,DR,XL,BK,YB,ES,MG,YU,AZ,IN,AK,GR,CC,KK,YP,XA,OD,XC,BR,GI,AT,RO,ID,QA,IF,FS,AG,DH,SH,TF,AO,YJ,TP,KI
2026-08-24,260.0,280.0,256.0,268.0,8516300,-0.7614,0.0032,0.0,0.1191,-0.1558,0.0,0.0225,0.001,-0.0137,0.2545,0.015,0.3379,0.1813,0.0013,0.0,-0.0268,0.0,-0.0458,0.0,0.0361,0.0,0.0416,0.0428,-0.007,0.0283,0.0527,-0.0545,-0.0095,0.0,-0.0003,0.0136,0.0,0.0,-0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0054,0.0,-0.0045
2026-08-26,222.0,258.0,222.0,258.0,59046900,0.0,0.0155,-0.001,0.0892,0.1155,-0.0599,-0.5982,-1.2,0.0165,-0.1207,0.1453,0.8772,0.2914,-0.0857,0.0,-0.7814,-1.1,0.0408,0.0184,0.5783,-0.2013,-1.2,-0.0478,-0.0079,1.1,0.3854,0.1722,0.0,0.0,0.0,-0.0083,0.0089,-0.0013,0.0,0.0,0.0924,0.0357,-0.0565,-0.0006,1.3,-0.0082,0.1725,0.0
2026-08-27,236.0,240.0,200.0,222.0,13184900,0.0,0.0172,0.0,-0.0196,-0.786,0.001,0.2723,0.0001,-0.0045,0.0868,0.0283,-0.2763,0.4303,0.0033,0.0,0.0073,0.022,-0.0226,0.0034,0.0831,-0.1106,0.4812,-0.0397,-0.1079,0.0277,-0.0044,-0.1524,0.0118,0.0,-0.0002,-0.0001,-0.0047,0.0058,0.0009,-0.0287,0.0753,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,224.0,244.0,208.0,236.0,7758800,0.0006,0.0387,0.0002,-0.0117,0.0095,0.0002,0.2081,0.0371,0.0005,-0.0442,0.0926,0.1395,0.0066,0.0056,0.0004,0.0068,0.0626,0.0086,0.0012,0.1554,0.009,-0.2074,0.0138,-0.0739,-0.5326,0.0516,0.0212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
