Date,Close,High,Low,Open,Volume,RO,CC,YP,KK,XC,XL,NI,AZ,OD,BQ,EP,CP,PD,MI,XA,AO,QA
2026-08-24,238.0,242.0,228.0,238.0,35700,0.0,0.003,-0.0005,0.0,-0.0001,0.0018,-0.0025,-0.0017,-0.0,0.0002,0.0,0.0,-0.0001,0.0,0.0,0.0001,-0.0001
2026-08-26,232.0,238.0,230.0,238.0,94900,0.0,0.0098,0.0065,0.0,0.0,-0.0087,0.0,0.0024,0.0001,-0.0002,0.0,-0.007,0.0005,-0.0023,-0.0008,0.0,0.0
2026-08-27,232.0,238.0,232.0,234.0,25700,0.0,0.0001,-0.0025,0.0,-400.0,-0.0022,-0.0001,0.0,-0.0001,0.0,0.0046,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,238.0,238.0,230.0,232.0,5900,400.0,0.0,-0.0003,0.0012,-0.0,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
