Date,Close,High,Low,Open,Volume,YU,AK,RO,CC,YP,NI,HD,XL,KK,XC,LG,AZ,GR,SQ,PD,ZP,BK,DH,MG,OD
2026-08-24,945.0,960.0,945.0,945.0,462100,0.0,-0.0008,0.0001,-0.0118,0.0009,-0.0124,0.0,-0.0124,0.0948,-0.0011,0.0,0.0,-0.0008,-0.0041,-0.0008,0.0604,-0.1022,0.0,-0.0056,-0.0045
2026-08-26,950.0,950.0,945.0,950.0,432300,-0.142,-0.0284,0.0,0.0067,0.0,0.0002,0.0002,-0.0361,0.0473,-0.001,0.0,0.0,0.0,-0.0007,-0.0009,-0.0326,0.1884,-0.0009,0.0,0.0
2026-08-27,950.0,960.0,940.0,950.0,603000,-0.0955,-0.0271,0.0,0.0139,0.0002,0.0002,0.0021,-0.0045,0.1174,-0.0003,0.0,0.0,0.0,0.0,0.0003,0.0271,-0.0338,0.0,0.0,0.0
2026-08-28,960.0,965.0,945.0,945.0,392400,-0.1915,-0.0268,0.0001,-0.0204,-0.0048,0.0002,-0.0015,0.0266,0.001,0.0019,-0.0002,-0.0036,-0.0011,0.0001,-0.0032,0.0226,0.2006,0.0,0.0,0.0
