Date,Close,High,Low,Open,Volume,LG,PD,CP,AT,RO,HP,NI,SQ,EP,AO,IF,DR,XL,MG,KI,IN,GR,CC,YP,DH,OD,XC,BQ,YB,KK,YU,AZ,HD,FZ,ID,XA
2026-08-24,25.0,27.0,25.0,27.0,7955600,0.0,-0.0083,0.0044,0.001,0.0001,0.0,-0.0004,0.005,0.0101,0.0,0.0,0.0,-0.0865,0.012,0.0,0.054,0.0002,0.0056,0.0131,0.0,0.0,-0.006,0.0003,0.0012,0.0,0.0,0.0,0.0,0.0,0.0003,-0.0062
2026-08-26,25.0,26.0,25.0,26.0,8328300,0.013,-0.0003,-0.0399,-0.0001,-0.0001,0.0,-0.0003,0.0001,0.0003,0.013,0.0,-0.0006,-0.1255,-0.0156,0.0,0.1626,-0.0007,-0.0016,-0.0018,0.0,-0.0003,-0.0007,0.0,-0.0012,0.0,-0.0001,-0.0001,0.0,0.0,0.0,0.0
2026-08-27,26.0,26.0,25.0,25.0,3684000,0.0,-0.0009,-0.013,-0.0001,-0.0007,0.0,0.0013,0.0007,0.0,0.0,0.0,0.0,-0.0312,0.0215,0.0,0.0032,-0.0003,0.0016,-0.0061,0.026,-0.0,-0.0032,0.0025,-0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,26.0,27.0,26.0,27.0,3361300,0.0014,-0.0024,0.0418,-0.0003,0.0,0.0,0.0011,0.0,0.0,-0.0135,0.0001,-0.0062,-0.0158,-0.0224,0.0,0.0106,0.0008,0.0022,-0.0024,0.0052,-0.0005,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
