Date,Close,High,Low,Open,Volume,CC,CP,BQ,XC,XL,YP,DH,RB,DR,AI,MG,YU,PD,XA,AT,FZ,NI,SQ,AZ,KK
2026-08-24,2460.0,2460.0,2170.0,2170.0,81200,-0.0077,-0.0155,0.0022,-0.0067,0.055,0.0019,-0.0034,0.0,0.0002,0.004,-0.0216,-0.0002,0.0,0.0187,-0.0001,0.0234,-0.0032,-0.0077,-0.0391,-0.0002
2026-08-26,2540.0,2600.0,2370.0,2600.0,26300,-0.0013,-0.0173,-0.0005,-0.0012,0.0088,0.0301,0.0026,0.0028,-0.0013,0.0051,-0.013,-0.0003,0.0051,-0.0196,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-27,2400.0,2550.0,2400.0,2550.0,15300,0.0014,-0.0156,-0.0005,0.0007,0.0132,-0.0,-0.0005,0.001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,2400.0,2400.0,2380.0,2380.0,6800,-0.0005,-0.0113,-0.0014,-0.0014,0.0146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
