Date,Close,High,Low,Open,Volume,PC,HP,RG,GR,LS,KZ,YP,BR,LG,OD,JB,CP,XA,PD,BK,AK,DH,NI,SF,CC,AZ,EP,HD,ZP,SQ,AI,YU,DU,BB,SH,AT,TP,KK,XL,TF,YB,CD,DX,BQ,XC,YJ,AO,IF,DR,MG,SS,IH,ID,BS,FZ,KI,EL,QA,RO,FS,RB,ZR,AG,MU,SA,AR
2026-08-24,640.0,645.0,620.0,635.0,108125300,0.9264,0.1905,0.0,0.5024,0.0217,0.0,-0.3661,0.2435,-0.2696,0.3479,0.0,-0.3451,-0.007,-1.3,4.5,0.1004,-0.0453,-2.1,0.0065,-2.3,-1.0,0.0412,-0.0526,2.4,0.4167,-0.0087,-1.9,0.0,0.0,0.584,-0.0392,1.1,0.392,-0.0682,-0.012,-0.0102,0.0047,-0.0629,0.2685,-0.1701,0.0096,0.2691,-0.0122,-0.4824,-4.2,0.0,0.6406,0.0,0.0,0.0,-0.1941,-0.0463,0.0,0.6427,0.0,-0.0064,0.0458,1.3,-0.0063,0.063,0.0178
2026-08-26,635.0,660.0,625.0,640.0,148057600,0.0708,-0.2074,-0.0243,-0.8866,0.0,0.0,-2.8,-0.1325,-0.1526,0.3344,0.0002,-0.3623,0.1451,-1.7,1.0,12.1,-0.2037,0.1675,0.0035,-0.6425,2.0,-1.1,0.2009,2.6,-0.2481,-0.12,0.1098,0.0,6.6,-0.226,-0.115,-0.0597,-1.8,-9.5,0.0645,-0.3169,0.0,0.0215,-1.6,-2.0,0.3707,0.0,0.0161,0.0836,-1.3,0.0,-0.293,0.0,0.0,0.0,-0.0338,0.0225,0.0116,-0.065,0.0003,0.0006,0.077,0.0,0.0,0.0,0.0
2026-08-27,645.0,665.0,625.0,635.0,109915800,-0.9634,3.2,0.4036,-0.0841,0.2003,0.0,-2.3,0.523,0.2381,-0.1072,0.0001,0.5775,-0.7383,-0.1039,0.4393,-2.4,0.1686,-1.1,0.0,-1.1,-0.8085,-0.5489,0.7043,3.7,-2.0,0.0,-0.7367,0.5686,0.0,-0.1076,-0.1441,4.9,-0.0323,-1.3,0.0022,-0.094,0.0575,0.1062,0.0,-0.7243,0.1206,-0.0711,0.0,-0.5195,-0.0153,0.0026,-0.6413,-0.0163,-0.0424,0.0645,0.0054,0.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,615.0,655.0,615.0,650.0,78444300,0.7038,0.0706,-0.0062,1.8,0.0281,3.4,1.5,-0.0719,-0.4187,1.1,-0.0001,1.3,0.0682,0.627,0.8766,-15.0,-0.1294,0.7232,-0.0032,-1.8,0.8241,0.2182,-0.504,-0.1279,1.7,0.033,0.2918,-0.0172,0.3169,-3.0,0.05,-0.0705,0.2257,6.7,-0.0701,0.122,-0.0006,-0.0044,0.4079,1.6,-3.2,0.125,-0.0429,-0.4819,-0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
