Date,Close,High,Low,Open,Volume,YB,CC,LG,XL,CP,AZ,SQ,PD,XA,AG,NI,KK,XC,OD,DR
2026-08-24,675.0,675.0,665.0,670.0,12400,0.0001,-0.0005,0.0,-0.0005,0.0,0.0,0.0,-0.0001,-0.0001,0.0,0.0008,0.0,0.0002,0.0067,-0.0066
2026-08-26,660.0,675.0,660.0,665.0,13200,0.0,-0.0021,0.0,0.0064,0.0,0.0,0.0,-0.0037,-0.0001,0.0,-0.0004,0.0001,-0.0012,0.001,0.0
2026-08-27,675.0,675.0,665.0,665.0,800,0.0001,-0.0001,0.0,0.0001,0.0,0.0,0.0,500.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0
2026-08-28,670.0,680.0,660.0,675.0,58000,0.0003,-0.0357,0.0001,-0.0028,0.0164,0.0001,0.0208,0.0007,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
