Date,Close,High,Low,Open,Volume,PD,AZ,DR,XA,CC,XL,SQ,XC,NI,YP,DH,OD,KK,LG
2026-08-24,159.0,162.0,158.0,161.0,166700,-0.0029,0.0002,0.0016,0.0076,-0.0082,0.0019,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0001,-0.0002
2026-08-26,161.0,162.0,158.0,158.0,145000,-0.0069,0.0,0.0,0.0047,-0.0005,0.0009,0.0,0.0016,0.0,0.0,0.0,-0.0,0.0002,0.0
2026-08-27,163.0,163.0,156.0,162.0,164200,0.004,-0.0001,-0.0002,0.0015,0.0055,-0.0023,0.0,-0.0021,-0.0032,-0.003,-0.0,-0.0,-0.0002,0.0
2026-08-28,160.0,164.0,160.0,163.0,66900,-0.0097,-0.0001,0.0002,0.003,0.0069,-0.0002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
