Date,Close,High,Low,Open,Volume,YB,CC,YP,NI,HD,XL,XC,GR,OD,CP,SQ,PD,AK,DH,XA,DR,AR,KK,AZ,BQ,ZP,MG,KI,YU,CD,AG,ID,PC,YJ,EP
2026-08-24,226.0,240.0,222.0,226.0,1043100,0.0006,0.0002,-0.0116,0.003,0.0001,-0.003,0.0044,-0.0001,0.0024,0.0031,-0.0067,0.0123,-0.0002,-0.0008,0.0007,-0.0001,0.0,0.0006,0.0003,-0.0019,-0.0057,-0.0054,0.0,-0.0023,0.0002,-0.0002,-0.0005,0.0,0.0081,0.0023
2026-08-26,222.0,228.0,220.0,228.0,307500,0.0026,-0.0031,0.0077,-0.0015,0.0003,-0.0137,-0.0,0.0001,0.0011,0.0001,0.0044,0.006,0.0034,0.0001,0.0,-0.0003,0.0,-0.0106,0.001,0.0001,0.0,0.002,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-27,222.0,230.0,220.0,230.0,373000,-0.0002,0.0002,-0.0061,0.0108,600.0,0.0159,-0.0049,0.0013,0.0,-0.0059,0.0083,0.0052,0.0043,0.0,-0.0055,-0.0002,0.0088,-0.0002,-0.0044,-0.0021,-0.0253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,222.0,224.0,220.0,224.0,167200,0.0022,-0.0187,0.0026,0.004,0.0003,-0.0004,0.0029,0.0001,0.0014,-0.0017,-0.0026,0.0022,0.0022,0.0,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
