Date,Close,High,Low,Open,Volume,DR,XC,CC,AI,PD,XL,LG
2026-08-24,4660.0,4660.0,4660.0,4660.0,100,0.0,0.0,0.0005,0.0,0.0,-0.0005,0.0
2026-08-26,4660.0,4690.0,4650.0,4650.0,700,0.0,-0.0009,-0.0005,-0.0005,-0.0005,-0.0005,0.0028
2026-08-27,4690.0,4690.0,4690.0,4690.0,200,-0.0009,0.0009,0.0,0.0,0.0,0.0,0.0
2026-08-28,4680.0,4680.0,4630.0,4630.0,200,,,,,,,
