Date,Close,High,Low,Open,Volume,AK,TP,YB,AT,XL,HD,KK,DR,HP,LG,DH,IF,NI,AI,XA,KI,FZ,ZP,AZ,YP,CP,CC,EP,DX,AG,BQ,PD,GR,XC,OD,BK,RO,SQ,KZ,RS,YU,AR,IH,IU,TF,QA,PC,ES,MG,YJ,FS
2026-08-24,1460.0,1475.0,1440.0,1440.0,4008300,0.0444,-0.0088,-0.0737,0.009,-0.285,0.0034,-0.1112,-0.0009,-0.0047,-0.4921,-0.0046,-0.0306,0.2665,0.1464,-0.0001,-1.0,0.0,-0.4129,-0.0661,-0.1884,-0.0457,2.8,0.0,0.0297,0.0,-0.0092,-0.1807,-0.2526,-0.0217,0.0243,-0.4156,-0.0258,0.1511,0.0,-0.0015,-0.001,0.0,0.0,0.0146,0.0,0.2345,0.0,0.0,-0.0292,0.0072,-0.0151
2026-08-26,1470.0,1510.0,1455.0,1460.0,6210800,-0.9319,0.0464,-0.0273,-0.0018,0.234,-0.0035,-0.0085,-0.2406,-0.0007,-0.3209,0.0084,-0.0151,0.1702,0.0,-0.0001,-1.2,0.0,0.0253,0.3258,-0.3211,-0.0112,2.9,0.0098,-0.0223,0.0001,0.0007,-0.4095,0.2887,0.0209,-0.0698,-0.538,-0.0317,0.185,0.0,0.0149,-0.0422,0.0,0.0,0.0,0.0019,-0.0024,0.0059,-0.075,-0.0029,-0.0078,0.0
2026-08-27,1565.0,1565.0,1460.0,1470.0,8573000,0.6561,0.4083,-0.0392,-0.0096,-0.1962,0.005,-0.0283,-0.264,-0.0129,-0.0587,-0.01,-0.0665,2.5,-0.0048,-0.0334,-3.4,0.0,0.1785,0.0239,0.1368,0.028,0.6811,-0.0637,0.0,-0.0002,0.077,1.2,0.0236,-0.1132,-0.1153,-0.5463,-0.0015,-0.795,0.0516,-0.0155,-0.0032,-0.1841,-0.0,0.0078,0.0028,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,1550.0,1565.0,1520.0,1545.0,2985100,-0.3147,0.1454,0.0056,0.0143,-0.1819,-0.0054,0.0201,-0.0046,0.103,0.0262,0.0054,0.0349,0.0543,0.0015,0.0177,0.01,0.0002,-1.0,0.004,-0.3605,-0.0175,1.2,0.0001,0.0239,-0.0,0.0615,0.373,0.0312,0.0623,-0.0359,-0.4271,0.0017,0.2093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
