Date,Close,High,Low,Open,Volume,LG,PD,CP,AT,BQ,RO,NI,EP,SQ,AO,PC,DR,IF,QA,XL,YB,ZR,MG,KI,AZ,GR,CC,KK,AG,YP,XA,OD,DH,XC,CD,HD
2026-08-24,398.0,402.0,396.0,402.0,789500,0.0,0.0008,0.0,0.0,0.0001,0.0,0.0,0.0,0.0119,0.0005,0.0,0.0,0.0,0.0,-0.0464,0.0,0.0,0.0,0.004,0.0011,0.0,0.0117,0.0,0.0,-0.0003,-0.198,0.0143,0.0,0.0022,0.0,0.198
2026-08-26,394.0,410.0,390.0,396.0,204600,0.0,0.0017,0.0226,0.0,0.0,0.0,0.0,0.0003,0.0077,-0.0,0.0,0.0,0.0,0.0,-0.0396,0.0,0.002,0.0,0.0,-0.0033,0.0,-0.0065,0.0014,0.0,0.009,0.0,0.0009,0.0,0.0039,-0.0,0.0
2026-08-27,384.0,402.0,380.0,394.0,206000,0.0,0.0021,-0.0211,0.0,0.0006,0.0,0.0038,0.0019,0.0076,0.001,0.0,0.0,0.0,0.0,-0.0075,0.0,0.0058,0.0,0.0038,0.0002,0.0,-0.0072,0.0005,0.0,0.0003,0.0,0.0009,0.0,0.0075,0.0,0.0
2026-08-28,480.0,480.0,364.0,364.0,2891400,-0.0039,-0.016,0.0543,-0.0004,0.0111,-0.0001,0.0074,0.0045,-0.017,-0.0028,-0.0001,0.0018,-0.0022,-0.0001,-0.0312,0.001,-0.0248,0.0424,-0.0219,-0.0007,0.0003,-0.0782,-0.0026,-0.0,0.1136,0.0116,-0.0196,-800.0,-0.0262,0.0,0.0
