Date,Close,High,Low,Open,Volume,YU,CC,HD,NI,DR,LG,KK,XC,AZ,GR,PD,YP,AT,XL,CP,OD,QA,KI,SQ,BQ,ZP,EP,CD,AG,SF,YJ,DH,MG,YB,TP,XA,RO
2026-08-24,148.0,151.0,145.0,149.0,2184300,0.0,-0.0662,700.0,-0.001,0.0003,0.0,0.0074,-0.0131,0.0057,-0.0002,0.0066,-0.0089,0.0,-0.003,0.0207,0.0012,0.0,0.029,-0.0161,0.0145,-0.0015,-0.0012,0.0,0.0,0.0,0.0,0.0007,0.0226,-0.0044,0.007,0.0,0.0
2026-08-26,139.0,154.0,133.0,148.0,5020100,0.0373,-0.0852,-0.0,-0.0091,0.0393,0.0001,0.0106,0.0235,0.0028,-0.0041,0.019,0.0159,-0.0125,0.0191,0.0088,-0.0688,0.0,0.0147,-0.0112,0.0349,0.0014,-0.0017,0.0,-0.0001,-0.0021,0.0,0.0003,-0.0233,0.0,-0.001,-0.0083,-0.0005
2026-08-27,141.0,143.0,131.0,138.0,2348300,0.0,0.0248,-0.0,0.0735,0.0,0.0,-0.0081,0.0206,-0.0169,0.0069,-0.0338,0.0076,0.0,-0.107,-0.0021,-0.0022,0.0005,0.0272,-0.001,0.0141,-0.0007,-0.0012,0.0001,-0.0001,-0.0057,0.0037,-0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,139.0,143.0,135.0,143.0,8859400,0.0083,-0.8433,-0.0,0.6101,0.0003,-0.0001,-0.0003,0.036,0.0106,0.0037,0.0488,0.0321,0.0014,0.0654,-0.0001,-0.0366,-0.0005,0.0549,0.0014,0.0068,0.001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
