Date,Close,High,Low,Open,Volume,AK,SF,YB,MG,AT,XL,KK,DR,LG,DH,NI,XA,AZ,SQ,YP,PC,CP,CC,EP,BQ,PD,OD,BK,RO,XC,TP,IF,QA,DX,YJ,HP,GR,ZP
2026-08-24,94.0,94.0,92.0,93.0,5766000,-0.0002,0.0,0.0806,0.0,-0.0001,-0.2129,0.0093,0.0,0.0005,0.003,0.0183,0.0,-0.0163,0.0014,0.0039,-0.0,0.0005,0.0412,-0.0121,-0.0033,0.1346,-0.0464,0.0,-0.0005,-0.0015,0.0003,0.0,0.0001,0.0,0.0,0.0,0.0,-0.0003
2026-08-26,93.0,94.0,87.0,93.0,12718800,0.001,0.0,0.3399,0.0018,0.0001,-0.0558,0.0085,0.0,-0.464,-0.0127,0.0195,0.0,0.0001,0.0112,-0.1021,0.0,0.0006,0.1214,-0.0,-0.0009,0.1224,0.0789,-0.0005,-0.0307,-0.023,0.0,0.0,0.0,0.0,-0.0009,0.0,-0.0148,0.0
2026-08-27,94.0,97.0,91.0,93.0,9555300,0.0005,0.0,-0.0007,-0.0005,0.0009,-0.053,0.0074,-0.0,-0.0374,-0.0002,-0.0208,0.0223,-0.0001,0.0004,0.0081,-0.0001,-0.0023,0.1156,0.0009,0.0029,0.0236,-0.0604,0.0016,0.0,-0.0085,-0.0004,0.0,-0.0001,0.0002,0.0,0.0,0.0,0.0
2026-08-28,92.0,94.0,90.0,94.0,23905400,-0.0017,-0.0001,0.2474,0.0951,-0.0009,-0.2381,0.0062,0.1092,-0.9046,0.0003,0.005,0.0137,0.1021,0.0007,-0.0218,0.0001,0.0055,0.019,0.0196,0.0384,0.5143,-0.0215,-0.0007,-0.083,0.0959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
