Date,Close,High,Low,Open,Volume,DH,YU,NI,TP,YP,SQ,XL,PD,CC,KK,DR,XC,OD,ZP,CP,BQ,GR,RO,XA,YB,AT
2026-08-24,1785.0,1800.0,1775.0,1800.0,68900,-0.0053,0.0004,0.0215,0.0,0.0052,0.0007,-0.0243,0.0021,-0.0279,0.0132,0.0,0.0023,0.0012,0.0,-0.0005,0.0,0.0098,0.0,0.0011,0.0004,0.0002
2026-08-26,1785.0,1795.0,1780.0,1785.0,102300,0.0006,-0.0178,0.0002,0.0,-0.0373,-0.0027,0.0159,-0.0046,-0.0272,-0.0007,0.0,0.0009,0.0023,-0.003,0.0,0.0,0.0,0.0736,0.0,0.0,0.0
2026-08-27,1785.0,1790.0,1780.0,1785.0,76500,0.027,-0.0177,0.0,0.0,-0.015,0.0005,-0.0094,0.046,0.0143,-0.0004,0.0004,-0.0018,-0.0045,0.0178,0.0004,0.0089,0.0039,-0.0705,0.0,0.0,0.0
2026-08-28,1785.0,1790.0,1780.0,1790.0,34100,0.0082,0.0002,0.0107,0.0018,-0.0342,0.0005,0.0152,-0.0141,0.0034,-0.0027,0.0004,0.003,0.0005,0.0071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
